                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 1.0185,                0.68995,                 0.8812,                0.92597,                      1,                  0.995,                0.74302,                0.93994,                0.60713,                0.88622,               0.005545,               0.005545,               0.005545
                     47,                 1.0701,                 0.7333,                0.87926,                0.96099,                0.97719,                0.99205,                0.70975,                0.97311,                0.66145,                  0.891,               0.005446,               0.005446,               0.005446
                     48,                 1.1247,                0.71934,                 0.8762,                0.94333,                      1,                  0.995,                0.72812,                0.91206,                0.60391,                0.88341,               0.005347,               0.005347,               0.005347
                     49,                 1.1301,                0.73808,                0.88532,                0.90895,                      1,                  0.995,                0.68564,                 1.0901,                0.65336,                0.89828,               0.005248,               0.005248,               0.005248
                     50,                 1.0781,                0.68287,                0.88251,                0.90895,                      1,                  0.995,                0.68564,                 1.0901,                0.65336,                0.89828,               0.005149,               0.005149,               0.005149
                     51,                 1.0612,                0.69586,                0.89086,                 0.8996,                      1,                  0.995,                0.72941,                0.94764,                0.59504,                0.88963,                0.00505,                0.00505,                0.00505
                     52,                  1.085,                0.68593,                0.87747,                0.90076,                      1,                  0.995,                0.68187,                 1.0567,                0.65868,                0.89622,               0.004951,               0.004951,               0.004951
                     53,                 1.0424,                0.68378,                0.88415,                0.91275,                      1,                  0.995,                0.72519,                0.95733,                0.61314,                0.88779,               0.004852,               0.004852,               0.004852
                     54,                 1.0713,                0.70267,                0.86639,                0.91275,                      1,                  0.995,                0.72519,                0.95733,                0.61314,                0.88779,               0.004753,               0.004753,               0.004753
                     55,                 1.0481,                0.64088,                 0.8839,                0.93842,                      1,                  0.995,                0.72102,                 1.0448,                0.56342,                0.89413,               0.004654,               0.004654,               0.004654
                     56,                 1.0259,                0.61364,                0.88015,                 0.9461,                      1,                  0.995,                0.75146,                0.93561,                0.52286,                0.88947,               0.004555,               0.004555,               0.004555
                     57,                 1.0329,                0.62326,                0.87733,                0.95018,                      1,                  0.995,                0.73731,                0.95641,                0.62255,                0.88835,               0.004456,               0.004456,               0.004456
                     58,                 1.0394,                0.62814,                0.87777,                0.95018,                      1,                  0.995,                0.73731,                0.95641,                0.62255,                0.88835,               0.004357,               0.004357,               0.004357
                     59,                0.96743,                0.62627,                0.86675,                0.93729,                      1,                  0.995,                0.76387,                0.91939,                0.54365,                0.88447,               0.004258,               0.004258,               0.004258
                     60,                0.97567,                 0.6062,                0.87829,                0.91238,                      1,                  0.995,                 0.6963,                 1.0724,                0.61457,                0.89516,               0.004159,               0.004159,               0.004159
